conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,scenario_jar,scenario_index
25,1,1,1,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,4
26,1,1,1,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,5
27,2,2,2,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,5
28,2,2,2,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,6
29,1,1,1,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,6
30,2,2,2,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,7
31,1,1,1,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,7
32,2,2,2,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,8
33,1,1,1,0,True,True,/home/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-1.0.4-SNAPSHOT.jar,8
34,3,8,8,5,True,True,/home/miningframework/output/files/ldap-plugin/eea7336ee4cf2e275c469bea99f549eba74fdc2b/original-without-dependencies/merge/ldap.jar,9
35,3,8,8,5,True,True,/home/miningframework/output/files/ldap-plugin/eea7336ee4cf2e275c469bea99f549eba74fdc2b/original-without-dependencies/merge/ldap.jar,9
36,1,1,1,0,True,True,/home/miningframework/output/files/ldap-plugin/eea7336ee4cf2e275c469bea99f549eba74fdc2b/original-without-dependencies/merge/ldap.jar,9
37,4,3,4,1,True,True,/home/miningframework/output/files/log-parser-plugin/a4d0e3ca611eef6567b9ac34a8b8453a35fb4fd8/original-without-dependencies/merge/log-parser.jar,10
38,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,11
39,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,11
40,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,12
41,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,12
42,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,13
43,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,13
44,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,14
45,1,1,1,0,True,True,/home/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,14
46,1,1,1,0,True,True,/home/miningframework/output/files/jira-client/3bc59bcee2e94a0905d0325aa037ecf68133ca64/original-without-dependencies/merge/jira-client-0.5-SNAPSHOT.jar,15
47,1,1,1,0,True,True,/home/miningframework/output/files/jira-client/3bc59bcee2e94a0905d0325aa037ecf68133ca64/original-without-dependencies/merge/jira-client-0.5-SNAPSHOT.jar,15
48,1,1,1,0,True,True,/home/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,16
49,3,4,4,1,True,True,/home/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,17
50,2,1,2,1,True,False,/home/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,17
51,3,2,3,1,True,False,/home/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,17
52,2,2,2,0,True,True,/home/miningframework/output/files/openkeepass/3dc44ae983c2022ca0544609982fcac1ec1bff0c/original-without-dependencies/merge/openkeepass-0.6.0-SNAPSHOT.jar,18
53,3,3,3,0,True,True,/home/miningframework/output/files/openkeepass/3dc44ae983c2022ca0544609982fcac1ec1bff0c/original-without-dependencies/merge/openkeepass-0.6.0-SNAPSHOT.jar,18
54,6,9,9,3,True,True,/home/miningframework/output/files/openkeepass/6218ade3f2e50f22e5e263714197f176e856c5a2/original-without-dependencies/merge/openkeepass-0.5.1-SNAPSHOT.jar,19
55,9,7,9,2,True,True,/home/miningframework/output/files/openkeepass/6218ade3f2e50f22e5e263714197f176e856c5a2/original-without-dependencies/merge/openkeepass-0.5.1-SNAPSHOT.jar,19
56,10,8,10,2,True,True,/home/miningframework/output/files/openkeepass/6218ade3f2e50f22e5e263714197f176e856c5a2/original-without-dependencies/merge/openkeepass-0.5.1-SNAPSHOT.jar,19
57,9,6,9,3,True,True,/home/miningframework/output/files/openkeepass/6218ade3f2e50f22e5e263714197f176e856c5a2/original-without-dependencies/merge/openkeepass-0.5.1-SNAPSHOT.jar,20
58,8,6,8,2,True,True,/home/miningframework/output/files/openkeepass/6218ade3f2e50f22e5e263714197f176e856c5a2/original-without-dependencies/merge/openkeepass-0.5.1-SNAPSHOT.jar,20
59,8,7,8,1,True,True,/home/miningframework/output/files/typescript-generator/1c03813f0d5593fbea4d3572a6ef028da3f034bd/original-without-dependencies/merge/typescript-generator-core-1.16-SNAPSHOT.jar,21
60,3,3,3,0,True,True,/home/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,22
61,1,1,1,0,True,True,/home/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,22
