conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,same_start_class,same_start_method,scenario_jar,scenario_index
81,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/openkeepass/3dc44ae983c2022ca0544609982fcac1ec1bff0c/original-without-dependencies/merge/openkeepass-0.6.0-SNAPSHOT.jar,26
82,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/openkeepass/3dc44ae983c2022ca0544609982fcac1ec1bff0c/original-without-dependencies/merge/openkeepass-0.6.0-SNAPSHOT.jar,26
83,4,3,4,1,True,True,True,True,/home/oav2/miningframework/output/files/typescript-generator/1c03813f0d5593fbea4d3572a6ef028da3f034bd/original-without-dependencies/merge/typescript-generator-core-1.16-SNAPSHOT.jar,27
84,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,28
85,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,28
86,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,28
87,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,28
88,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/88ff010738dcb2c9e0726af7b6a7feb4daf1f333/original-without-dependencies/merge/cf-helloworld-server-3.0.0-SNAPSHOT.jar,29
89,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/4f29e53f0a4805f5a85c73d0bfa314606494611d/original-without-dependencies/merge/cf-helloworld-server-2.4.0-SNAPSHOT.jar,30
90,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/14cecab828b7b2ee4aa3e1728dff84940404fb02/original-without-dependencies/merge/cf-helloworld-server-2.0.0-SNAPSHOT.jar,31
91,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/proguard-maven-plugin/f451e7e614d307e53025ba5738baa26724d3ad54/original-without-dependencies/merge/proguard-maven-plugin-2.1.1-SNAPSHOT.jar,32
92,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/proguard-maven-plugin/f451e7e614d307e53025ba5738baa26724d3ad54/original-without-dependencies/merge/proguard-maven-plugin-2.1.1-SNAPSHOT.jar,32
93,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/proguard-maven-plugin/f451e7e614d307e53025ba5738baa26724d3ad54/original-without-dependencies/merge/proguard-maven-plugin-2.1.1-SNAPSHOT.jar,32
94,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/proguard-maven-plugin/f451e7e614d307e53025ba5738baa26724d3ad54/original-without-dependencies/merge/proguard-maven-plugin-2.1.1-SNAPSHOT.jar,32
95,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/proguard-maven-plugin/65fb4b434c390988653d6eec5ae61a4a60ef3f7a/original-without-dependencies/merge/proguard-maven-plugin-2.0.15-SNAPSHOT.jar,33
96,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/82c3891f53102534d57b4ff829c957b9a44d79bd/original-without-dependencies/merge/cf-helloworld-server-2.0.0-SNAPSHOT.jar,34
97,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/82c3891f53102534d57b4ff829c957b9a44d79bd/original-without-dependencies/merge/cf-helloworld-server-2.0.0-SNAPSHOT.jar,34
98,5,2,5,3,True,True,True,True,/home/oav2/miningframework/output/files/californium/54e272279f793bc458312aeab5105779434513e3/original-without-dependencies/merge/cf-helloworld-server-2.0.0-SNAPSHOT.jar,35
99,2,3,3,1,True,True,True,True,/home/oav2/miningframework/output/files/californium/677286ef24f95757ec5b9ec89648a99bba9bdd67/original-without-dependencies/merge/californium-core-2.0.0-SNAPSHOT.jar,36
100,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/677286ef24f95757ec5b9ec89648a99bba9bdd67/original-without-dependencies/merge/californium-core-2.0.0-SNAPSHOT.jar,37
101,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/californium/0cc8e8652e7ff21b1215e3f486d592d6aad9c3bb/original-without-dependencies/merge/californium-osgi-2.0.0-SNAPSHOT.jar,38
102,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jndn/62f89871b57a8bc206428dacff6bde4e6fd305c3/original-without-dependencies/merge/jndn-0.7.jar,39
103,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/spark/86bef5bbb81339f758b65b80a8488c5a10ef4d41/original-without-dependencies/merge/spark-core-2.5.6-SNAPSHOT.jar,40
104,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/spark/d8f6320e4c6d98ce16ebc33f07700bee9a95ae24/original-without-dependencies/merge/spark-core-2.5.3-SNAPSHOT.jar,41
105,4,2,4,2,True,True,True,True,/home/oav2/miningframework/output/files/pom-manipulation-ext/a282eb864b0390a93e0559ccce1cfa4ab624112b/original-without-dependencies/merge/pom-manipulation-io-3.7-SNAPSHOT.jar,42
