Time_Sec,CPU_Percent,Memory_GB
484.17,101.4,7.8439
485.17,101.4,7.8439
486.18,102.4,7.8432
487.19,101.4,7.8432
488.19,179.1,7.8877
489.2,110.4,7.8877
490.2,105.4,7.8877
491.21,99.5,7.8877
492.21,104.4,7.8877
493.22,109.4,7.8877
494.23,100.2,7.8877
495.23,113.6,7.8877
496.23,104.5,7.8877
497.24,100.4,7.8877
498.25,101.4,7.8877
499.25,100.4,7.8877
500.26,169.1,7.8886
501.26,100.4,7.8886
502.27,102.5,7.8886
503.27,103.4,7.8886
504.28,100.5,7.8886
505.28,101.4,7.8886
506.29,100.4,7.8886
507.3,100.4,7.8886
508.3,100.5,7.8886
509.31,101.4,7.8886
510.31,99.7,7.8886
511.31,101.5,7.8886
512.32,100.4,7.8886
513.33,186.0,8.2276
514.33,101.7,8.2276
515.33,101.7,8.2276
516.33,100.8,8.2276
517.34,99.5,8.2278
518.34,101.5,8.2278
519.35,100.5,8.2278
520.36,100.5,8.2278
521.36,100.5,8.228
522.37,107.4,8.228
523.37,101.4,8.228
524.38,100.5,8.228
525.38,100.5,8.228
526.38,100.8,8.3145
527.39,226.0,8.8645
528.39,101.4,8.8646
529.4,99.5,8.8646
530.41,100.4,8.8646
531.41,101.4,8.8646
532.42,101.5,8.8646
533.42,101.4,8.8646
534.43,102.5,8.8646
535.43,100.5,8.8646
536.44,101.5,8.8646
537.44,100.5,8.8646
538.45,104.5,8.8646
539.45,101.5,8.8646
540.46,100.5,8.8646
541.46,142.2,8.9698
542.47,99.5,8.9698
543.47,101.5,8.97
544.48,99.5,8.97
545.48,101.5,8.97
546.49,101.4,8.97
547.49,101.5,8.97
548.5,100.4,8.97
549.5,101.7,8.97
550.51,99.5,8.97
551.51,102.4,8.97
552.52,102.4,8.97
553.52,103.5,8.9718
554.53,100.4,8.9718
555.54,100.5,8.9718
556.54,101.5,8.9718
557.54,100.5,8.9718
558.55,100.4,8.9718
559.56,100.5,8.9718
560.56,104.4,8.9718
561.57,99.4,8.9718
562.57,103.5,8.9721
563.58,104.4,8.9721
564.58,88.5,8.9721
565.59,100.5,8.9721
566.59,115.3,8.9743
567.6,119.4,8.9743
568.6,102.5,8.9743
569.61,100.5,8.9743
570.62,100.4,8.9743
571.62,100.4,8.9743
572.63,101.4,8.9743
573.63,100.5,8.9743
574.64,101.5,8.9743
575.64,99.4,8.9743
576.65,102.4,8.9743
577.65,99.7,8.9743
